"Pop" "am+" "mlmm" "glmnet" "rf" "bigRR" "lasso" "fast" "fastALL" "gemma" "r2VIM"
"W" 0.22135 0.10458 0.15398 NA 0.26833 0.21664 0.03858 0.07393 0.00474 11.79574
"L" 1.96691 0.06886 1.62789 NA 8.53312 9.35396 1.43465 2.01934 0.06886 40.76333
"S" 2.9228 3.27898 5.12133 NA 16.16411 19.11508 3.1835 4.56208 0.22408 50.07053
"HS" 16.56684 17.03578 31.80084 NA 89.52 121.36664 21.68468 25.72765 0.29267 110.21822
"A" 60.28942 94.73629 NA NA NA NA 54.98741 NA 0.93882 NA
"HL" 122.88039 NA NA NA NA NA 92.06961 NA 2.25381 NA
